MOTIF ID	LOCATIONS	REFERENCES	DESCRIPTION
B147.2.1.2		Icel.	
B147.2.2	Germany		
B147.2.2.1	India, Ireland, Spain	Hindu, Icel., Irish myth, Spanish Exempla	
B147.2.2.2			
B147.2.2.3	Cross, Ireland	Icel., Irish myth	
B147.2.2.4	India	. India, Icel.	
B147.2.2.5	Cross, Ireland	Icel., Irish myth	
B147.2.2.6	Ireland	Irish myth	
B147.2.2.7	India	India	
B147.3.0.1	India	India	
B147.3.1.1			
B147.3.1.2	Spain	Spanish Exempla	
B147.3.2.1			
B150	India, Stuttgart	India	
B151		Jewish	
B151.1.1	China	. Chinese	They are left to pick out the road themselves and to stop at the destination.
B151.1.1.0.1	Ireland	Irish myth	
B151.1.1.0.2	Finland	Finnish	
B151.1.1.0.3	China	Chinese	
B151.1.1.1			The foal is left so that the force of nature in the mare will discover the unknown road home.
B151.1.1.2		Jewish	
B151.1.1.2.1			He has been denied burial in the church.
B151.1.1.2.2	Italy	Italian Novella	Advises master that angel is barring the way.
B151.1.2	Ireland	Irish myth	
B151.1.2.1	India	India	
B151.1.3	India	India	
B151.1.4		Buddhist myth	
B151.1.5		Jewish	
B151.1.6		Icel.	
B151.2.0.1			
B151.2.0.2	Ireland	Irish myth	
B151.2.0.3	Africa, South	South Africa	
B152.1	England	English	
B152.2	India	India	Girl to marry man on whom specially marked fly lights.
B152.3	Korea	Korean	
B153	India, Japan	. India, Japanese	
B153.1		Icel.	
B154.1		Persian	All judgments referred to it.
B154.2	Rhodesia	Ila of Rhodesia	
B154.3	Rhodesia	Ila of Rhodesia	
B155	Ireland	Irish myth	
B155.1	Denmark, Eng., Estonia, Finland, France, Norden, Wales, irish	Danish, Estonian, Finnish, Irish myth, Stemplinger Neue Jahrb. Finnish-Swedish, Wales	Where the animal stops the building is erected.
B155.1.0.1	Ireland	Irish myth	
B155.2	Greece, India	Greek, India	
B155.2.1	India	India	
B155.2.2	India	India	
B155.2.3			
B155.2.4	India	India	
B155.3	Ireland, Volksgebruik	Irish myth, Jewish	
B155.4	Korea	Korean	
B157.1	Calif., India	Calif. Indian	
B159.1	Ireland	Irish myth	
B159.2	Ireland	Irish myth	
B159.3	Ireland	Irish myth	
B159.4	India	India	
B160	India	India	
B161	Armenia, India, Ireland	. Irish myth, Cross. Armenian, India	
B161.1			
B161.2			
B161.3		. Cf. Diegueso, . Scotch	
B161.4	India	India	
B162			
B162.1	Ireland, Japan	. Irish myth, Icel., Japanese	
B163.1		Jewish	
B163.1.1		Jewish	
B165.1	Greece, India	. Greek, India	
B165.1.1			
B165.1.2			
B165.1.3	India	India	
B165.2		Jewish	
B171	India	India	
B171.1	France	. Missouri French	A cock is cut in two and is made magic. Carries robbers, foxes, and stream of water under wings.
B171.1.0.1	India	India	
B171.1.1	India	. India	
B171.2	India	India	
B172	Hawaii, Ireland	Hawaii, Irish myth, Jewish	
B172.1			
B172.2	Ireland	Krappe Bull. Irish myth, Welsh	Brings joy and oblivion for many years. Wakes the dead.
B172.2.1	Ireland	Irish myth	
B172.2	Ireland	Irish myth	
B172.3		Sees that they are properly placed. Persian	
B172.4		Persian	
B172.5	Italy	Italian Novella	
B172.6	Ireland	Irish myth	
B172.7	Ireland	Irish myth	
B172.8	Ireland	Irish myth	
B172.9	Ireland	Irish myth	
B172.10.1	Ireland	Irish myth	
B172.11	India	India	
B175	China, Ireland	Chinese, Irish myth	
B175.1	Ireland, Japan	Irish myth, Japanese, Welsh	
B175.2	Italy	Italian Novella	Later he saves him from drowning and restores his sanity.
B176.1	India, Ireland		
B176.1.1	China, Ireland, Spain	Hebrew, Irish myth, Jewish, Keller. Indo-Chinese, Spanish Exempla	
B176.1.2	India	India	
B177.1.1	Canada, France	French Canadian	
B177.2			
B177.3	Ireland	Irish myth	
B178.1	China	Chinese	
B181.1	Ireland	Irish myth	
B181.1.1	India	India	
B181.3	China	Chinese	
B182.1	India, Ireland	India, Irish myth	
B182.1.0.1	Ireland	Irish myth	
B182.1.0.1.1	Ireland	Irish myth	
B182.1.0.2	Ireland	Irish myth	
B182.1.0.3	Ireland	Irish myth	
B182.1.1	Ireland	Irish myth	
B182.1.2	Ireland	Irish myth	
B182.1.3	Ireland	Irish myth	
B182.1.3.1	Ireland	Irish myth	
B182.1.4	Ireland	Irish myth	
B182.1.5	Ireland	Irish myth	
B182.1.6	Ireland	Irish myth	
B182.1.7	Ireland	Irish myth	
B182.1.8		Jewish	
B182.2	Lithuania, Russia	Lithuanian, Russian	
B183.1	India	India	
B183.1.1	Africa, South Africa	Africa (Zulu)	Mouse orders hero to flay him and to use skin for magic purposes. Later the skin is returned to the mouse.
B183.1.2	Ireland	Irish myth	
B184.1	Africa, Breton, Canada, Cape, France, French, India, Ireland, Lithuania, Missouri, Verde	. Africa (Mpongwe), . Irish myth, Arabian, Breton, Buddhist myth, Cape Verde Is., French Canadian, India, Lithuanian, Missouri French	
B184.1.1	China, Cross, Greece, India, Ireland	. Greek, Chinese, Icel., India, Irish myth	
B184.1.1.1	India	India	
B184.1.1.2		Icel.	
B184.1.1.3	Ireland	Irish myth	
B184.1.2			
B184.1.3	Armenia, Japan	Boberg Irish myth, Cross. Armenian, Icel.	
B184.1.4	Greece, irish		
B184.1.5	Ireland	Irish myth, Welsh	
B184.1.6	French, India, Ireland, Japan, Missouri	. Irish myth, India, Japanese, Missouri French	
B184.1.6.1			
B184.1.7	Ireland, Japan	Irish myth, Japanese	
B184.1.8	Greece	Greek	
B184.1.9	Scotland	Scottish	
B184.1.10	India	India	
B184.1.11	Ireland	Irish myth	
B184.1.12		Icel.	
B184.2	Cross, India, Ireland	Icel., India, Irish myth	
B184.2.0.1	Ireland	Irish myth	
B184.2.0.1.1	Ireland	Irish myth	
B184.2.1.1.1	Switserland	Swiss	
B184.2.1.1.2	India	India	
B184.2.1.2	India	Hindu	
B184.2.1.3	India	India	
B184.2.2	Africa, Canada, France	. Icel., Jewish, Neuman. Africa (Kaffir), introd. French Canadian	
B184.2.2.1	Ireland	Irish myth	
B184.2.2.2	Ireland	Irish myth	
B184.2.3		Arabian, Jewish	
B184.2.3.1	Sweden, Wyandot	Wyandot	The bull orders the hero (heroine) to flay him and to use his skin for magic purposes.
B184.2.3.2	Ireland	Irish myth	
B184.2.3.3	India	India	
B184.2.4		Jewish	
B184.2.5			
B184.3.0.1	Ireland	Irish myth	
B184.3.0.2	Ireland	Irish myth	
B184.3.0.3	Ireland	Irish myth	
B184.3.0.4	Ireland	Irish myth	
B184.3.0.5	Ireland	Irish myth	
B184.3.1	Cross, irish	Icel., Irish myth	
B184.3.1.1	Ireland	Irish myth	
B184.3.2.1	Ireland	Irish myth	
B184.3.2.2	Ireland	Irish myth	
B184.3.2.3	Ireland	Irish myth	
B184.4	Ireland	Irish myth	
B184.5.1	India	India	
B184.6	Ireland	Irish myth	
B184.6.1	Ireland	Irish myth	
B191	India	India	
B191.1	Switserland	Swiss	
B191.2	China	Chinese	
B191.3	India	India	
B191.4	India	India	
B191.5		Icel.	
B191.6	India	India	
B191.7		Jewish	
B192	Ireland, Seneca	Irish myth, N. A. Indian (Seneca)	
B192.0.1	Ireland	Irish myth	
B192.1	Ireland	Irish myth	
B192.2	India	India	
B192.3	India	India	
B193	Ireland	Irish myth	
B195	India	India	
B200	America, Europe, India, Ireland	Bear-fox cycle, Beckwith MAFLS XVII notes. See also Panchatantra. Marquesas, Cross Fables, Jewish, Rabbit-fox cycle, Reynard the Fox, S. A. Indian (Warrau), etc. Irish myth	
B210	India	India	
B210.1	U.S.	U.S.	Example: Man riding horse and followed by dog tells horse to jump over a hole. Horse says, "I will not." Man turns to dog and says, "Isn't that strange a horse talking!" The dog says, "Yes, isn't it." Often the man runs, meeting other animals which answer him, until he falls exhausted.
B210.2	U.S.	U.S. Negro	Discoverer is unable to prove his claims: is beaten.
B210.3	India	India	God took the power of speech from the animals because men refused to kill speaking beasts.
B211	Breton, Canada, China, France, India, Ireland	. Irish myth, Breton, Chinese, French Canadian, Hindu, India	
B211.0.1	Ireland	Irish myth	
B211.1.1		Breton, Missouri-French	
B211.1.1.1	Breton, Greece, Ireland	Breton, Greek, Irish myth	
B211.1.1.1.1	U.S.	U.S.	Pious owner resolves to sell it next day.
B211.1.2	Africa, Angola, India	Africa (Angola), Breton, India	
B211.1.3	Bulgaria, Carriire, French, Greece, Hungary, India, Lithuania, Missouri, Russia, Turkey	Greek, Lithuanian, Malten Jahrb. Russian, Missouri French, Modern Greek	
B211.1.3.1		Breton, Jewish	
B211.1.3.2	Africa, Kordofan	Africa (Kordofan)	
B211.1.4	Africa, India, Ireland, Missouri-French	Africa (Benga), India, Irish myth, Missouri-French	
B211.1.4.1	Ireland	Irish myth	
B211.1.5	India, Lithuania, Quebec	French-Canadian, India, Lithuanian	
B211.1.5.1		Buddhist myth	
B211.1.5.2	India	India	
B211.1.5.3	India	India	
B211.1.5.4	India	India	
B211.1.5.5		Jewish	
B211.1.6	India	India	
B211.1.7	Africa, Breton, India, Ireland, Missouri-French	Africa, Breton, India, Irish myth, Missouri-French	
B211.1.7.1	Africa, South Africa	Africa (Zulu)	
B211.1.8	Breton, Denmark, Germany, India, Japan, Missouri-French	Breton, German, Gr. Danish, India, Japanese, Missouri-French	
B211.2.1	Breton, Ireland	Breton, Irish myth	
B211.2.2	Germany, Quebec	French-Canadian, German, Moreno	
B211.2.2.1	China, India, Quebec	Chinese, French-Canadian, India, S. A. Indian (Chiriguano)	
B211.2.2.2	India	S. A. Indian (Chiriguano)	
B211.2.3	Germany, Quebec	French-Canadian, German	
B211.2.4	Germany, Ireland	German, Irish myth, Jewish	
B211.2.5	Germany	German, Jewish	
B211.2.6	Germany, Ireland	German, Irish myth	
B211.2.7	Ireland	Irish myth	
B211.2.7.1	Ireland	Irish myth	
B211.2.8	India	India	
B211.2.9	India	India	
B211.2.10	China, India	Chinese, India	
B211.3	Africa, Bloomfield, Breton, China, Duala, India, irish	Africa, Arabian, Breton, Chinese, India, Irish myth, Jewish, Missouri-French	
B211.3.1		Zusi	
B211.3.2		Jewish, Missouri-French	
B211.3.2.1		Jewish	
B211.3.3	India	India	
B211.3.4	India	India	
B211.3.5	Africa, Greece, India	Africa (Ba Ronga), Greek, India, Jewish, S. A. Indian (Chiriguano)	
B211.3.6		Jewish	
B211.3.7	India	India	
B211.3.8		Jewish	
B211.3.9	India, Quebec	French-Canadian, India	
B211.4.1	Quebec	French-Canadian	
B211.4.2	Germany	German	
B211.5	Africa, Duala, India, Missouri-French	. Breton, Africa (Duala), India, Jewish, Missouri-French	
B211.6.1	India, Ireland	. Cf. Satan in the Garden of Eden. Irish myth, India, Jewish, Missouri-French	
B211.7.1	India		
B211.7.2		Breton, Missouri-French	
B212	Ireland	Irish myth	
B212.0.1	Ireland	Irish myth, Jewish	
B212.0.2		Jewish	
B212.1			
B214.1.1		Jewish	
B214.1.2	Ireland	Irish myth	
B214.1.3		Jewish	
B214.1.4	Africa, South Africa	Africa (Zulu)	
B214.1.5		Jewish	
B214.1.6		Jewish	
B214.1.7		Jewish	
B214.1.8	India	India	
B214.1.8.1	India	India	
B214.1.9		Jewish	
B214.1.11	Africa	Africa (Nyang)	
B214.1.12	Africa	Africa (Nyang)	
B214.2.1	China	Chinese	
B214.3.1	China	Chinese	
B214.4.1	China	Chinese	
B215			The various animals have languages of their own.
B215.0.1	India	India	
B215.1	Belgium, Greece, India		
B215.2		. Breton	
B215.2.1			
B215.3			
B215.4			
B215.5	Ireland	Irish myth	
B215.5.1	India	India	
B215.6	India	India	
B215.6.1	India	India	
B216	Africa, Breton, China, India, Ireland, Korea	Toldo Studien zur vgl. Africa (Benga)	Person understands them.
B217	China, India	Chinese, Icel., India, Jewish	
B217.1	France, Ireland	Irish myth	
B217.1.1	China		
B217.1.2			
B217.2		Breton	
B217.3	Africa	. Africa (Ekoi)	
B217.4			
B217.5	Greece	Greek	
B217.6	Italy	Italian Novella	
B217.7	India	India	
B217.8		Jewish	
B220	India	Breton, India, N. A. Indian	
B221.1	India	India	
B221.2	India, Japan	India, Japanese	
B221.2.1			Serpent has the office.
B221.3		Icel.	
B221.4		Icel.	
B221.5	India	India	
B221.6.1	India	India	
B222	Japan	Arabian, Japanese	
B222.1	India	India	
B222.2	India	India	
B222.3	India	India	
B222.4	India	India	
B223	India, Japan	Ikeda. N. A. Indian, India, Japanese	
B223.1	Hawaii	Hawaii	
B224.1		Jewish	
B225.1	India	Icel.	
B225.1.1	India	India	
B226.1	Germany	German	
B226.2		Jewish	
B230	Africa, Duala, India, Wakweli		
B232	Breton, India, Ireland, Seneca	Breton, Hindu, India, Irish myth, Seneca (Indians)	
B232.1	Leipzig		
B233			
B233.1	India	India	
B234	India	India	
B235	Bloomfield, India, Missouri-French		
B236	Africa, Angola, Nigeria	 (Gr. Africa (Ibo, Nigeria)	
B236.0.1	Africa, India	. India, Africa (Gold Coast)	
B236.1	India, Japan		
B236.2			
B237			
B238.1			Eagle as judge.
B238.2	India	India	
B239.1		Jewish	
B240	India	Breton, India, Jewish	
B240.1			
B240.2	Guatemala, India	Chuh (Indians of Guatemala), India	
B240.3	China	Chinese	
B240.4	India, Japan	India, Japanese, Jewish	
B240.4.1	India	India	
B240.5	Africa	Africa (Mbundu)	
B240.6	Africa	Africa (Luba)	
B240.7	Africa	Africa (Luba)	
B240.8			
B240.9			
B240.10			
B240.11			
B240.12			
B240.13	India	Cheremis, India	
B240.14	Africa, Cameroon, India	Africa (Fang), India	
B240.15	Africa	Africa (Fang)	
B241.2.1		Breton	
B241.2.2	China	Buddhist myth, Chinese	
B241.2.3	England, Ireland	English	
B241.2.4	India, Korea	Breton, India, Korean	
B241.2.5	England, India	English, India	
B241.2.6			
B241.2.7			
B241.2.8	Africa, India	Africa (Gold Coast)	
B241.2.8.1	India	S. A. Indian (Chiriguano)	
B241.2.9	India	India	
B241.2.10		Buddhist myth	
B241.2.11			
B241.2.12	Ireland	Buddhist myth, Irish myth	
B241.2.13	India	India	
B241.2.14	Africa, Ganda	Africa (Ganda)	
B241.3	Ireland	Irish myth	
B242	Breton, England, India, Ireland	Breton, Buddhist myth, English, Gr. Irish myth, Hindu, India, Missouri-French	
B242.1.1		Icel.	
B242.1.2	Ireland, Japan		Wins contest for kingship.
B242.1.2.1	Ireland	Irish myth	
B242.1.3	India	India	
B242.1.4	Africa, Duala	Africa (Duala)	
B242.1.5	Madagascar	Madagascar (Merina)	
B242.1.6			
B242.1.7			
B242.1.8	India	India	
B242.1.9		Buddhist myth	
B242.1.10		Jewish	
B242.2.1	India	Breton, India	
B242.2.2	India	India	
B242.2.3	India	India	
B242.2.4	India	India	
B242.2.5	India	India	
B242.2.6	India	India	
B242.2.7	India	India	
B242.2.8		Buddhist myth	
B242.2.9		Buddhist myth	
B242.2.10		Buddhist myth	
B242.2.11		Buddhist myth	
B242.2.12			
B243	Africa, Angola, French, India, Missouri	 (Gr. Breton: Sibillot Incidents s.v. "poisson"; Missouri French: Carriire; India: *Thompson-Balys. Africa (Angola), S. A. Indian (Toba)	
B243.1.1			
B243.1.2	India	S. A. Indian (Toba)	
B243.1.3	Hawaii	Hawaii	
B243.2.1	Japan	Japanese	
B243.2.2			
B244.1	China, Denmark, India, Zanzibar	. Danish, . Hindu, Buddhist myth, Chinese, India, Zanzibar	
B244.1.1	India	India	
B244.1.2		Buddhist myth	
B244.1.3		Buddhist myth	
B244.1.4		Buddhist myth	
B244.2		Buddhist myth	
B244.3		Buddhist myth	
B245.1	Breton, China, England, India	Chinese, Hindu, India, tr. English	
B245.2	India	India	
B246.1			
B246.2	Africa, Baker, fl	Africa (Swahili)	
B246.3	China	Chinese	
B248	China	Chinese	
B250	Ireland	Irish myth	
B251.1	England, Ireland	English, Irish myth	
B251.1.1	Ireland, Spain	. Irish myth, Spanish Exempla	
B251.1.2	Carolina, Latvia, Lithuania, North	Lithuanian, Livonian, North Carolina	
B251.1.2.2			
B251.1.2.3	England, U.S.	U.S.	
B251.2	Ireland	Irish myth	
B251.2.1	Ireland	Irish myth	
B251.2.2	Ireland	Irish myth	
B251.2.3	Ireland	Irish myth	
B251.2.4	Ireland	Irish myth	
B251.2.5	Ireland	Irish myth	
B251.2.6	Ireland	Irish myth	
B251.2.6.1	Ireland	Irish myth	
B251.2.6.2	Ireland	Irish myth	
B251.2.7			
B251.2.7.1			
B251.2.8	Ireland	Irish myth	
B251.2.9	Ireland	Irish myth	
B251.2.10	Ireland	Irish myth	
B251.2.10.1	Ireland	Irish myth	
B251.2.11			
B251.2.12		Jewish	
B251.3	Ireland	Irish myth, Jewish	
B251.3.1	Ireland	Irish myth	
B251.4	Ireland	Irish myth, Jewish	
B251.4.1	Ireland	Irish myth	
B251.4.1.1			
B251.5	Ireland	Irish myth	
B251.6	India	India	
B251.7.1		Jewish	
B251.8.1		Jewish	
B251.9		Jewish	
B251.10	Ireland	Irish myth	
B252.1	Ireland	Irish, Irish myth	
B252.2	Ireland	Irish myth	
B252.3	India	India	
B253.1	Switserland	Swiss	
B253.2	Ireland	Irish myth	
B253.3	Ireland	Irish myth	
B253.4	India	India	
B253.5			
B253.6			
B255	Ireland	Irish myth, Jewish	
B256	Ireland	Irish, Irish myth	
B256.0.1	Ireland	Irish myth	
B256.1	Ireland	Irish myth, Saints' legend (Irish)	
B256.1.1	Ireland	Irish myth	
B256.2	Italy		Pigs dedicated to saint held sacred.
B256.3			
B256.3.1	Ireland	Irish myth	
B256.4			
B256.4.1			
B256.5			
B256.5.1			
B256.6	Ireland	Irish myth	
B256.6.1	Ireland	Irish myth	
B256.6.2	Ireland	Irish myth	
B256.6.3	Ireland	Irish myth	
B256.7	India	India	
B256.8		Saintyves	
B256.9	Ireland	Irish myth	
B256.10	Ireland	Irish myth	
B256.11	Ireland	Irish myth	
B257			
B259.1		Hebrew, Jewish	When stolen by thieves, the ass refuses to eat for three days because the thieves' provender has not been tithed.
B259.2		Jewish, Jewish	Refuses to work on Sabbath.
B259.3			
B259.4	Ireland	. Irish myth	
B259.4.1	Ireland	Irish myth	
B259.5	Ireland	Irish myth	
B260			
B260.1		Shuswap, Tahltan	
B261	Africa, Japan	. Japanese, Ikeda. Africa	
B261.1	Africa, India, Japan, Nigeria	Africa (Benga), India, Japanese	Because of ambiguous form joins first one side and then the other. Discredited.
B261.1.1	India	India	
B262	Japan	. Japanese	
B263.1		Breton	
B263.2	Indonesia	Indonesian	
B263.3	India, Spain	Hindu, Spanish Exempla	
B263.4	India	India	
B263.5	Ireland	Irish myth	
B263.5.1		Jewish	
B263.6	China	Chinese	
B263.7		Jewish	
B263.8		Jewish	
B264	Indonesia, Ireland	. Icel., . Indonesia, Irish myth, Jewish	
B264.1	Ireland	Irish myth	
B264.2	India	India	
B264.3	India	India	Buffalo arms self.
B264.4	China	Chinese	
B264.5	Africa, Togo	Africa (Togo)	
B265	Ireland	Irish myth	
B266	Ireland	Irish myth	
B266.1	Ireland	Irish myth	
B267			
B267.1		Jewish	
B267.2		Jewish	
B267.3		Jewish	
B267.4		Jewish	
B268	India	India	
B268.1	China, India	Chinese, Hindu, India	
B268.2			
B268.2.1		Icel.	
B268.3		Icel.	
B268.4		Icel.	
B268.5	India	India	
B268.5.1		Jewish	
B268.6	India	India	
B268.7	Africa, India	Africa (Upoto), India	
B268.7.1		Jewish	
B268.8	India	India	
B268.8.1		Jewish	
B268.8.2		Jewish	
B268.8.3		Jewish	
B268.9	India	India	
B268.10	India	India	
B268.11	India	India	
B268.12		Buddhist myth	
B268.13	Africa	Africa	
B270	Bordeaux, Paris, Spain	Jewish, Spanish Exempla	
B270.1	India	India	
B270.2	Africa, wakwelus		
B271.1	Africa	Africa (Fang)	Sparrow says his interests are the same as man's; parrot says that he caused all man's wealth, since man sold his feathers. People's decision for parrot.
B271.2	Switserland	Swiss	
B271.3	Italy	Italian Novella	A king has a bell which petitioners for justice may ring and thus summon him. The bell is rung by a serpent which is being menaced by a turtle (or by an old horse who wishes to complain against a cruel master).
B272			
B272.1			
B272.2	Innsbruck, New, Strassburg, York		
B272.2.1			
B274	Africa	Africa	
B275	Innsbruck	Jewish	
B275.1	France, New, Sibillot, York	Jewish	
B275.1.1			
B275.1.2			
B275.1.3.1	Spain	Spanish Exempla	
B275.1.3.2	Spain	Spanish Exempla	
B275.2			
B275.3	Ireland	Irish myth	
B275.4	India	India	
B276	Africa, Baukon	Africa (Baukon)	
B278	India	. India	
B279	Ireland	Irish myth	
B279.1	Ireland	Irish myth	
B279.2		Jewish	
B280	India, Japan	. Japanese, India	
B281.1			Fox refuses to marry hyena, since, according to belief, hyena yearly changes sex.
B281.2			
B281.2.1	Estonia, Greece	Estonian, Greek	
B281.2.2	India	India	
B281.3	Germany, India, Lithuania	India, Slavic	
B281.4	Baton, Chansons, Riga	Lettish	
B281.5			
B281.6		Rhaetian	
B281.7	France	French	
B281.8	France	French	
B281.9			
B281.9.1	Lithuania	Lithuanian	Frightens the other wild animals invited by the vixen.
B281.10	India	India	
B281.11.1	India	India	
B282		Missouri-French	
B282.1			All birds invited except eagle. This omission starts great conflict.
B282.2	Germany	Wendish	
B282.2.1	Der, Thiele		Kite promises to secure ostrich as attendant. Fails and is put to shame.
B282.3.1	Germany, Riga	German, Lettish	
B282.3.2	France	French	
B282.3.3	France	French	
B282.3.4	France	French	
B282.3.5		Lettish	
B282.3.6	Catalonia, France	Catalonian, French	
B282.4.1	France	French	
B282.4.2	England	English	
B282.5	Canada, France	French	
B282.6	France, Ukraine	French	
B282.7	Russia	Russian	
B282.8	France, Wallonia, prussian	French	
B282.9	England, French, London	English, French, Slavic	
B282.10	Bukovina, France, Japan	. f. Vksk. Japanese, French	
B282.11	Freiburg, Germany	German	
B282.12	Germany	German	
B282.13	Estonia	Estonian	
B282.14	Germany, Riga	German	
B282.15	Germany, Riga	German, Lettish	
B282.16	Denmark, Germany	Danish	
B282.17	Russia	Russian	
B282.18		Slavic	
B282.19	France	French	
B282.20	France	French	
B282.21	Germany	German	
B282.22.1			
B282.23	Lithuania, Russia	Lithuanian	Go a-courting one another across the marshes but never come to an understanding, as each time either one or the other changes his mind.
B283	India	India	
B283.1	Bulgaria, Romania	Bulgarian, Roumanian	
B283.2	China	Chinese	
B284.1			
B284.1.1	England, States, Texas, United	United States	("Frog went a-courtin'").
B284.2	Bulgaria	Bulgarian	
B285.1	French, Italy		
B285.2		Lettish	
B285.3			
B285.4	Denmark, Germany	Danish	
B285.5	France, Spain	French	
B285.6	France	French	
B285.7			
B285.8	India	India	
B286.1		Lettish	
B290.1		Cheremis	
B291	Africa, India, Ireland	. African, India, Irish myth, N. A. Indian	
B291.0.1	Africa, Kaffir	Africa (Basuto)	Hen (cock) the only one successful.
B291.0.2			
B291.1	Africa, Cameroon, China, England, Hawaii, India, Ireland, Mangaia	Africa (Fang), Chinese, English, Hawaii, India, Irish myth, Marquesas, Welsh, ibid.	
B291.1.0.1	India	India	
B291.1.1.1	Ireland	Irish myth	
B291.1.1.2			
B291.1.2	India	Buddhist myth, India	
B291.1.3	Calif., India	Calif. Indian	
B291.1.4	India	India	
B291.1.5	India	India	
B291.1.6	India	India	
B291.1.7		Buddhist myth	
B291.1.8	Africa	Africa (Upoto), Jewish	
B291.1.9	Africa	Africa (Upoto), Jewish	
B291.1.10	Africa, Pooloki	Africa (Pooloki)	
B291.1.11	China	Chinese	
B291.1.12		Jewish	
B291.2.1	India, Ireland	India, Irish myth	
B291.2.2	India	Icel., India	
B291.3.1	Ireland	Irish myth	
B291.3.2.1	India	India	
B291.4.1	India	India	
B291.4.2	India	India	
B291.4.3	Tahiti	Tahiti	
B292	China, India, Japan	Chinese, India, Japanese, Jewish	
B292.0.1	India	India	
B292.0.2		Jewish	
B292.1.1	Africa	Africa (Hottentot)	
B292.1.2	Greece	Greek Myth	
B292.2	China, India	Chinese, India	
B292.2.1	India	India	
B292.2.2	Hawaii	Hawaii	
B292.2.2.1	India	India	
B292.2.3		Jewish	
B292.3	Ireland	Irish myth, Saints' legend (Irish)	
B292.4.1	Ireland	Irish myth	
B292.4.1.1	Ireland	Irish myth	
B292.4.2	India	India	
B292.4.3	China	Chinese	
B292.5	Ireland, irish	Irish myth, Saints' legend (Irish)	
B292.6		Breton	
B292.6.1		Icel.	
B292.7	Ireland	Irish myth	
B292.8			
B292.9.1	India	India	
B292.9.2	India	India	
B292.9.3	India	India	
B292.10		Icel.	
B292.11	India	India	
B292.12	India	India	
B292.13		Jewish	
B293	Africa, India, Luba	Africa (Luba), India	
B293.0.1		Jewish	
B293.1		Breton	
B293.2		. Breton	
B293.3	Canada, France, Korea	French Canadian, Sister Marie Ursule. Korean	
B293.4	Canada, France	French Canadian	
B293.5		Buddhist myth	
B294.1			
B294.2.1	India	India	
B294.2.2	India	India	
B294.3	India	India	
B294.4	India	India	
B294.5	India	India	
B294.6	Africa	Africa	
B294.7	Africa, Cameroon	Africa (Cameroon)	
B295			
B295.1			Takes animals and birds into boat. It capsizes.
B296	Africa, France, India, Japan, Tonga, indonesian	. Cf. N. A. Indian, Carriire. Africa (Tonga), India, Japanese, Japanese, Missouri French, ab. Jewish	
B296.1	Rome		Cock, geese, or dog go to Rome to become Pope.
B297.0.1	Ireland	Irish myth	
B297.1	Africa, sudan, western	Africa (tribes of Western Sudan)	
B297.1.1	Ireland	Irish myth	
B297.1.2	Africa	Africa (Luba)	
B297.2.1	Ireland	Irish myth	
B298.1			
B299.1	China, India	Chinese, India	
B299.1.1	China	Chinese	
B299.2.1	India	India	
B299.3	India	India	
B299.4	India	India	
B299.5	Ireland	Irish myth	
B299.5.1	India	India	
B299.5.2	India	India	
B299.5.3	Ireland	Irish myth	
B299.6	Africa, Cameroon	Africa (Cameroon)	
B299.7	India, Tenetehara	Jewish, S. A. Indian (Tenetehara)	
B299.8.1	India	S. A. Indian (Amuesha)	
B299.9	India	S. A. Indian (Chiriguano)	
B299.10	Germany		
B300	India, Ireland, Philippines	. India, . Philippine, Cross. Hindu, Thompson-Balys. N. A. Indian, Toldo Studien zur vgl. Irish myth	
B301	Ireland	Irish myth	
B301.1		Icel.	
B301.1.1	Spain	Spanish Exempla	Supports body.
B301.1.2	India	India	
B301.1.3			
B301.2	England	English	
B301.3	England, ywain	English, Icel.	
B301.4			
B301.4.1	Ireland	Irish myth	
B301.4.1.1	Ireland	Irish myth	
B301.4.2	Ireland	Irish myth	
B301.4.3	Ireland	Irish myth	
B301.4.3.1	Ireland	Irish myth	
B301.4.4		Icel.	
B301.4.5		Icel.	
B301.4.6		Icel.	
B301.4.7		Icel.	
B301.4.8		Icel.	
B301.5	Italy	Italian Novella	
B301.6	Ireland	Irish myth	
B301.6.1	Ireland	Irish myth	
B301.6.2	Ireland	Irish myth	
B301.6.3	Ireland	Irish myth	
B301.7	India, Ireland	India, Irish myth	
B301.7.1	India	India	
B301.8	Spain	Icel., Spanish Exempla	
B310			
B311	Africa, India, Ireland, South Africa	. Irish myth	Born at same time as master and (usually) by same magic means.
B311.1	Africa, Contes, Kassonke, Monteil, Soudanais	Africa (Akan-Ashanti)	Hero reared by animal's parents.
B312.1	Germany, India, Ireland, Japan, Spain	Icel., India, Irish myth, Japanese, Spanish	
B312.2	India		
B312.3	Africa, India, Italy, Madagascar	Africa (Hausa), India, Italian Novella	
B312.4	Africa, India	Africa (Swahili), India	
B312.4.1		Cheremis	
B312.5		Icel.	
B313			
B313.1	India, Japan	. India, Japanese	The dead mother appears to the heroine in the form of an animal.
B313.2	Germany	German	
B314	France	. Missouri French	
B315		. Icel.	
B316	Canada, France	. French Canadian, Missouri-French	Hero is ordered by ogre to feed and care for certain horse and to neglect other horse. Hero disobeys and feeds neglected horse. Latter is enchanted prince and helps hero.
B317	Germany, Guinea, New	German New Guinea	Hero holds eagle's egg in hand and hatches it. Young eagle becomes his helper.
